Tornado # in Year;Year;Month;Day;Time (CST);County;Damage Scale;Maximum Path Width (Yards);Path Length (Miles);Fatalities;Injuries;Location;
16;2001;10;13;1244;Baldwin;F2;200;0.7;0;0;Robertsdale;
15;2001;10;13;1240;Baldwin;F0;30;0.2;0;0;Foley;
14;2001;10;13;1235;Marengo;F1;450;7.1;0;0;3.6 NNE Dixons Mill-5.5 SW Hugo;
13;2001;10;13;1225;Baldwin;F3;440;1.0;0;0;Foley;
12;2001;10;13;1200;Baldwin;F0;30;0.2;0;0;Gulf Shores;
11;2001;10;13;0635;Baldwin;F0;20;0.1;0;0;Montrose;
10;2001;10;13;0630;Baldwin;F1;30;0.1;0;0;Fairhope;
9;2001;8;31;1702;Talladega;F1;30;3.5;0;0;3.0 WSW Lincoln-1.6 NNW Lincoln;
8;2001;6;11;1705;Covington;F0;50;3.5;0;0;3 S Libertyville-3 ESE Libertyville;
7;2001;6;11;0640;Mobile;F0;75;2.5;0;0;Mobile Bates Field;
6;2001;5;24;1802;Blount;F0;30;1.0;0;0;6.4 NW Oneonta-6.2 NW Oneonta;
5;2001;5;24;1648;Jackson;F1;80;0.5;0;0;Aspel;
4;2001;3;12;1300;Covington;F1;75;3.2;2;1;7.5 NNE Red Level-7.9 NNE Red Level;
3;2001;3;2;1829;Montgomery;F1;100;2.2;0;0;Montgomery;
2;2001;2;16;1339;Madison;F0;30;4.4;0;0;NW Huntsville;
1;2001;1;19;0922;Montgomery;F0;100;2.3;0;4;2.1 E Montgomery-4.0 ENE Montgomery;
37;2002;12;24;0645;Henry;F1;150;18.0;0;8;Headland-3 E Haleburg;
36;2002;12;24;0320;Clarke;F0;20;0.1;0;0;Walker Springs;
35;2002;12;24;0305;Washington;F0;20;0.1;0;0;Millry;
34;2002;12;24;0240;Monroe;F0;20;0.1;0;0;Perdue Hill;
33;2002;12;24;0235;Washington;F0;20;0.1;0;0;Leroy;
32;2002;12;23;2200;Washington;F0;20;0.1;0;0;Fruitdale;
31;2002;12;19;1600;Monroe;F0;20;0.1;0;0;Monroeville;
30;2002;12;19;1525;Washington;F0;20;0.1;0;0;Malcolm;
29;2002;11;10;2320;Cherokee;F2;440;10.5;1;4;3.4 SE Centre-12.3 E Centre;
28;2002;11;10;2241;St. Clair;F1;50;3.2;0;0;3.1 WNW Steele-1.3 N Steele;
27;2002;11;10;2222;Tuscaloosa-Jefferson;F2;450;15.2;0;3;3.2 NW Abernant-1.8 SSW Bessemer;
26;2002;11;10;2222;Blount-Etowah;F1;300;10.6;0;0;1.4 SW Allgood-7.4 SW Gallant;
25;2002;11;10;2138;Walker;F1;300;4.3;0;0;3.5 SW Dora-0.8 NE Dora;
24;2002;11;10;2110;Fayette;F1;90;4.3;0;0;4.6 ESE Berry-9.0 E Berry;
23;2002;11;10;2015;Pickens;F0;40;2.0;0;0;4.3 WSW Ethelsville-2.3 WSW Ethelsville;
22;2002;11;10;2015;Fayette-Walker-Winston-Cullman;F3;1175;72.6;7;53;6.0 NNE Fayette-5.8 W Townley-7.6 SE Arley-1 SE Holly Pond;
21;2002;11;10;1942;Pickens;F1;75;4.5;0;0;2.5 NW Stafford-2.9 NE Stafford;
20;2002;11;10;1931;Lamar;F2;150;7.2;0;2;7.6 WSW Fernbank-1.5 NNW Fernbank;
19;2002;11;10;1852;Fayette-Walker-Winston;F3;1175;44.3;4;38;5.6 NNW Fayette-4.5 SW Carbon Hill-2.5 ESE Arley;
18;2002;11;05;1735;Henry;F2;200;6.0;1;20;3 W Abbeville-3 NE Abbeville;
17;2002;11;05;1715;Dale;F1;100;2.0;0;3;2 N Echo-2 S Bertha;
16;2002;11;05;1340;Baldwin;F0;20;0.1;0;0;Barnwell;
15;2002;11;05;1200;Butler;F0;50;0.5;0;0;Georgiana;
14;2002;11;05;1130;Conecuh;F0;20;0.1;0;0;Lenox;
13;2002;11;05;1040;Clarke;F0;20;0.1;0;0;Bashi;
12;2002;10;20;1750;Covington;F0;20;0.1;0;0;Libertyville;
11;2002;10;12;1230;Madison;F0;20;0.1;0;0;NW Meridianville;
10;2002;10;04;1006;Cullman;F0;100;1.0;0;0;Baileyton;
9;2002;9;26;0530;Mobile;F0;20;0.1;0;0;Semmes;
8;2002;9;25;1906;Baldwin;F0;20;0.1;0;0;Gulf Shores;
7;2002;9;25;1825;Baldwin;F0;20;0.1;0;0;Gulf Shores;
6;2002;9;22;1408;Mobile;F0;20;0.1;0;0;5 W Bates Field;
5;2002;9;18;1340;Madison;F0;20;0.1;0;0;S Meridianville;
4;2002;9;14;0830;Mobile;F0;20;0.1;0;0;Theodore;
3;2002;7;19;1522;St. Clair;F0;50;0.4;0;0;7.9 ESE Springville-8.3 ESE Springville;
2;2002;4;30;1557;Barbour;F0;25;1.5;0;0;3.1 NNE Texasville-3.3 NE Texasville;
1;2002;3;29;2320;Marshall;F1;500;8.7;0;0;W Red Hill-WSW Albertville;
42;2003;11;18;1207;Walker;F1;100;6.3;0;0;1.2 ENE Oakman-2.1 NNE Parrish;
41;2003;11;18;1147;Tuscaloosa;F1;100;6.3;0;2;2.4 SSE Tuscaloosa-5.6 NNE Tuscaloosa;
40;2003;8;29;1355;Mobile;F0;20;0.1;0;0;Mobile;
39;2003;7;01;0429;Montgomery;F0;60;4.7;0;0;1.4 NNW Pintlala-2.1 WSW Hope Hull;
38;2003;7;01;0342;Crenshaw;F1;600;3.0;0;0;1.0 NE Honoraville-4.0 N Honoraville;
37;2003;5;17;0955;Limestone;F1;500;7.0;0;0;5 SW Cairo-2 SE Cairo;
36;2003;5;17;0945;Lauderdale;F1;500;2.0;0;0;3 E Rogersville-5 E Rogersville;
35;2003;5;7;1631;Marengo;F0;40;0.1;0;0;1.5 SE Myrtlewood;
34;2003;5;7;1540;Randolph;F1;500;12.9;0;0;1.6 SSW Wedowee-12 ENE Wedowee;
33;2003;5;7;1508;Clay;F0;20;1.2;0;0;0.3 N Lineville-0.7 NE Lineville;
32;2003;5;7;1457;Clay;F0;50;1.1;0;0;1.8 SSE Ashland-2.3 SE Ashland;
31;2003;5;7;1441;Clay;F0;70;1.2;0;0;6 NW Millerville-4.9 NW Millerville;
30;2003;5;7;1421;St. Clair;F0;25;0.2;0;0;4.1 ESE Moody-4.3 ESE Moody;
29;2003;5;7;1345;Shelby-Talladega;F1;50;1.3;0;0;2.4 SSE Wilsonville-7.4 SW Childersburg;
28;2003;5;7;1340;Talladega;F1;50;4.6;0;0;4.2 WSW Munford-1.3 SSE Munford;
27;2003;5;7;1310;St. Clair;F1;50;4.5;0;0;5.8 NW Pell City-1.4 NNW Pell City;
26;2003;5;7;1111;Walker;F1;40;2.4;0;0;4.2 WSW Townley-3.8 SW Townley;
25;2003;5;7;1011;Lamar;F1;25;0.5;0;0;2.9 N Vernon-3.0 NNE Vernon;
24;2003;5;6;1016;Cullman;F0;20;0.1;0;0;2 E West Point-2.1 E West Point;
23;2003;5;6;0913;Dekalb;F1;50;2.7;0;0;2 W Hammondville-Valley Head;
22;2003;5;6;0858;Jackson;F0;20;1.0;0;0;5 NE Hollywood-6 NE Hollywood;
21;2003;5;6;0845;Jackson;F0;20;3.0;0;0;Hollywood-3 NE Hollywood;
20;2003;5;6;0716;Madison;F1;200;1.0;0;0;Meridianville-1 E Meridianville;
19;2003;5;6;0658;Madison;F0;20;0.1;0;0;Madison-2 E Madison;
18;2003;5;6;0620;Limestone;F1;500;15.0;0;0;Shanghai-3 NW Athens;
17;2003;5;6;0535;Lauderdale;F1;600;10.0;0;0;5 W Florence-Petersville;
16;2003;5;6;0533;Colbert;F0;50;0.1;0;0;Muscle Shoals;
15;2003;4;25;1524;Elmore;F0;50;0.6;0;0;3.6 NW Tallassee-3.0 NW Tallassee;
14;2003;4;25;1325;Greene-Hale;F0;50;4.4;0;0;4.9 SE Forkland-4.4 W Cedarville;
13;2003;4;25;1057;Pickens;F1;50;0.1;0;0;1.9 NW Dancy;
12;2003;4;7;0602;Dallas;F0;20;0.1;0;0;1.5 NE Marion Junction;
11;2003;4;7;0016;Dallas;F0;50;0.5;0;0;Tilden Community;
10;2003;4;7;0010;Wilcox;F0;20;0.1;0;0;Millers Ferry;
9;2003;3;19;1357;Etowah;F0;50;1.1;0;0;2.2 ESE Tabor-3.1 E Tabor;
8;2003;3;19;1350;Jackson;F1;50;10.0;0;3;2 SW Flat Rock-2 NE Flat Rock;
7;2003;3;19;1252;Jackson;F1;40;1.0;0;0;2 NE Dutton-3 NE Dutton;
6;2003;3;19;1249;Jackson;F1;30;0.5;0;0;Section-Rosalie;
5;2003;3;19;0920;Madison;F0;50;0.1;0;0;2 N Toney-3 NE Toney;
4;2003;3;6;0248;Calhoun-Cleburne;F1;250;9.0;0;3;White Plains-Shoal Creek Pinic Area;
3;2003;2;21;2340;Conecuh;F0;20;0.1;0;0;4 E Lenox;
2;2003;2;21;2335;Escambia;F0;20;0.1;0;0;Wallace;
1;2003;2;15;2036;Marengo;F1;80;2.5;0;0;1.6 W Providence-2.1 N Providence;
56;2004;12;07;0402;Lamar;F2;75;3.0;0;0;10.9 W Millport-8.6 NW Millport;
55;2004;11;27;1155;Baldwin;F1;200;1.0;0;0;Seminole;
54;2004;11;27;1145;Baldwin;F0;50;0.1;0;0;1 S Elsanor;
53;2004;11;27;1135;Baldwin;F0;200;1.5;0;0;2 NW Robertsdale-2 NNW Robertsdale;
52;2004;11;27;1135;Baldwin;F2;300;4.5;0;4;1.7 SW Summerdale-2.9 NE Summerdale;
51;2004;11;24;0809;Lee;F0;30;0.2;0;0;3.0 SE Opelika-3.1 SE Opelika;
50;2004;11;24;0755;Baldwin;F0;30;0.1;0;0;Fairhope;
49;2004;11;24;0735;Tallapoosa;F0;30;0.8;0;0;1.8 SE Daviston-2.7 SE Daviston;
48;2004;11;24;0724;Montgomery;F0;75;4.8;0;0;2.8 SW Cecil-2.0 E Cecil;
47;2004;11;24;0710;Mobile;F0;20;0.1;0;0;Mon Louis;
46;2004;11;24;0709;Tallapoosa-Clay;F1;300;13.7;0;1;2.9 N Hackneyville-5.9 SE Ashland;
45;2004;11;24;0659;Talladega-Calhoun;F2;500;15.2;1;0;3.5 SE Lincoln-Anniston;
44;2004;11;24;0648;Elmore;F0;50;2.4;0;0;3.2 NW Millbrook-2.6 NW Millbrook;
43;2004;11;24;0648;Talladega;F0;100;3.3;0;0;0.6 SW Winterboro-2.6 NE Winterboro;
42;2004;11;24;0641;Talladega-St. Clair;F0;250;5.7;0;0;10.7 NW Talladega-5.9 SW Lincoln;
41;2004;11;24;0636;Talladega;F1;50;0.9;0;0;1.5 SE Childersburg-2.1 SE Childersburg;
40;2004;11;24;0624;Autauga;F2;500;9.7;0;1;3 S Autaugaville-4 W Prattville;
39;2004;11;24;0556;Dallas;F0;50;1.1;0;0;10 SE Selma-10.6 SE Selma;
38;2004;11;24;0549;Autauga-Chilton-Coosa;F2;1400;49.0;0;0;1.1 NE Jones-0.8 SE Hanover;
37;2004;11;24;0528;Jefferson;F0;50;1.0;0;0;3.9 S McCalla-3.4 SE McCalla;
36;2004;11;24;0507;Dallas;F1;300;14.7;0;1;0.5 N Marion Junction-2.3 E Summerfield;
35;2004;11;24;0443;Marengo-Dallas;F0;50;5.0;0;0;7.9 E Thomaston-2.4 NW Safford;
34;2004;11;24;0440;Choctaw;F0;30;0.5;0;0;Silas;
33;2004;11;24;0435;Clarke;F1;100;3.0;0;0;Chilton-5.6 NW Fulton;
32;2004;11;24;0410;Marengo;F2;200;11.9;0;2;10.1 SW Thomaston-3.7 SE Thomaston;
31;2004;11;23;2138;Lamar-Marion;F1;250;13.9;0;0;1.2 SE Detroit-3.3 SE Hamilton;
30;2004;10;19;1900;Conecuh;F0;30;0.5;0;0;Owassa;
29;2004;10;18;1727;Limestone;F0;35;2.0;0;0;2 WSW Lester-Lester;
28;2004;10;18;1610;Lauderdale;F1;50;2.0;0;0;Lexington-2 N Lexington;
27;2004;10;18;1545;Colbert-Lauderdale;F1;200;7.0;0;3;2 E Riverton-2 NW Petersville;
26;2004;9;16;0500;Macon;F0;25;0.1;0;0;9 SE Tuskegee;
25;2004;9;16;0405;Barbour;F0;40;0.1;0;0;8 E Clayton;
24;2004;9;16;0249;Montgomery;F0;35;0.1;0;0;5 E Snowdoun;
23;2004;9;16;0205;Pike;F0;30;0.1;0;0;13 E Troy;
22;2004;9;16;0156;Barbour;F0;40;0.2;0;0;2 S Clio;
21;2004;9;16;0125;Pike;F0;30;0.1;0;0;1 E Troy;
20;2004;9;15;1840;Conecuh;F0;30;1;0;0;2 S Castleberry-2 SW Castleberry;
19;2004;9;15;1820;Escambia;F0;30;3;0;0;1 W Dixie-4 NW Dixie;
18;2004;9;15;1302;Baldwin;F0;30;3;0;0;3 SE Josephine-1 SW Josephine;
17;2004;8;20;1423;Jackson;F0;30;1;0;0;1 W Skyline-Skyline;
16;2004;7;14;1640;Colbert;F0;128;0.3;0;0;7 SW Cherokee;
15;2004;7;14;1625;Colbert;F0;60;0.2;0;0;Cherokee;
14;2004;7;14;1520;Madison;F0;50;1;0;1;2 SW Huntsville-3 SW Huntsville;
13;2004;7;6;1728;Madison;F0;20;0.1;0;0;Owens Crossroads;
12;2004;6;25;1723;Mobile;F0;20;0.1;0;0;2 SE Dauphin Island;
11;2004;5;31;1320;Geneva;F0;50;0.2;0;0;Coffee Springs;
10;2004;5;31;0329;Jefferson;F0;150;4.2;0;0;Bluff Park-2 E Hoover;
9;2004;5;31;0322;Jefferson;F0;150;1.7;0;0;1 SW Hueytown-1.9 SE Hueytown;
8;2004;5;30;2355;Madison;F1;150;8.5;0;0;New Sharon-3 NE Fisk;
7;2004;5;30;2326;Limestone;F1;100;9.0;0;3;2 S Cairo-2 SW Elkmont;
6;2004;5;30;2320;Lauderdale;F1;75;2.5;0;0;3 N Anderson-5 NNE Anderson;
5;2004;5;30;2309;Lauderdale;F1;100;4.0;0;0;2 SE Killen-2 S Elgin;
4;2004;5;30;2252;Lauderdale;F1;150;6.0;0;0;6 W Florence-Florence;
3;2004;5;30;2240;Lauderdale;F1;70;3.2;0;0;3 W Murphy Crossroads-1 NE Murphy Crossroads;
2;2004;3;5;2133;Limestone;F0;75;1.5;0;0;8 ESE Athens- 10 E Athens;
1;2004;3;5;2128;Limestone;F0;75;2;0;0;6.5 ESE Athens- 7.0 ESE Athens;
77;2005;11;28;1944;Coosa;F1;150;0.4;0;0;2.7 WSW Equality - 2.2 WSW Equality;
76;2005;11;28;1930;Elmore;F0;30;0.1;0;0;11.7 N Wetumpka;
75;2005;11;28;1841;Autauga;F0;150;5.4;0;0;3.2 W Autaugaville - 3 NE Autaugaville;
74;2005;11;28;1653;Dallas;F0;50;5.8;0;0;8.5 NNW Selma - 12 N Selma;
73;2005;11;28;1440;Jefferson;F0;75;0.4;0;0;2 NW Hueytown;
72;2005;11;28;1410;Jefferson;F0;30;0.1;0;0;9.7 N Graysville;
71;2005;11;15;2030;Cullman;F0;25;3.0;0;0;Crane Hill - 1 NE Crane Hill;
70;2005;11;15;1830;Lamar;F0;30;0.1;0;0;Vernon;
69;2005;11;14;1630;Winston;F0;20;0.1;0;0;5.5 NE Haleyville;
68;2005;09;26;0417;Monroe;F0;100;2.0;0;0;Monroe County Airport;
67;2005;09;25;2042;Sumter;F0;50;2.8;0;0;Coatopa-2.8 NE Coatopa;
66;2005;09;25;1714;Tuscaloosa;F0;10;0.1;0;0;3.7 N Coker;
65;2005;09;25;1659;Tuscaloosa;F1;125;4.8;0;0;2.6 S Buhl-2.2 N Buhl;
64;2005;09;25;1652;Tuscaloosa;F0;60;1.2;0;0;6.2 S Buhl-5.0 S Buhl;
63;2005;09;25;1637;Greene;F1;250;6.0;0;0;6.5 SW Clinton-0.6 SW Clinton;
62;2005;09;25;1524;Tuscaloosa;F0;60;5.0;0;0;6.5 SW Samantha-1.8 S Samantha;
61;2005;09;25;1519;Tuscaloosa;F0;100;5.8;0;0;4.5 NE Buhl-4.7 SW Samantha;
60;2005;09;25;1505;Tuscaloosa;F1;150;6.7;0;2;1.3 S Buhl-5.8 NE Buhl;
59;2005;09;25;1455;Tuscaloosa;F1;100;13.8;0;0;0.6 E Elrod-5.3 W Samantha;
58;2005;09;25;1454;Greene-Tuscaloosa;F0;25;0.3;0;0;12 NE Union;
57;2005;09;25;1439;Pickens;F0;25;0.3;0;0;7.3 NE Benevola;
56;2005;09;25;1406;Winston;F0;30;0.5;0;0;1.8 SE Delmar-1.6 SE Delmar;
55;2005;09;25;1405;Tuscaloosa;F0;50;0.8;0;0;8.2 NW Samantha-8.0 NW Samantha;
54;2005;09;25;1400;Fayette;F0;20;0.1;0;0;12.5 NE Fayette;
53;2005;09;25;1357;Winston;F1;150;2.5;0;0;2.9 SE Double Springs-3.8 NE Double Springs;
52;2005;09;25;1355;Tuscaloosa;F0;80;1.6;0;0;3.5 NW Echola-4.7 NW Echola;
51;2005;09;25;1354;Winston;F0;50;0.8;0;0;5.9 SE Double Springs-5.2 SE Double Springs;
50;2005;09;25;1330;Marion;F1;40;2.5;0;0;3.5 WSW Winfield-3.3 NW Winfield;
49;2005;09;25;1322;Lamar-Fayette;F1;300;6.2;0;0;1.2 SE Kennedy-1.3 ENE Belk;
48;2005;09;25;1304;Pickens;F0;30;5.2;0;0;8.4 SW Aliceville-3.2 SW Aliceville;
47;2005;09;25;1201;Lamar;F0;25;0.1;0;0;2.8 W Crossville;
46;2005;09;25;0400;Monroe;F0;50;2.2;0;0;Excel;
45;2005;08;29;1641;Russell;F0;25;0.1;0;0;16.2 W Phenix City;
44;2005;08;29;1519;Macon;F0;400;3.0;0;0;5.4 NW Tuskegee-8.4 NW Tuskegee;
43;2005;08;29;1453;Calhoun;F1;30;1.5;0;0;6 SW Piedmont-5.5 SW Piedmont;
42;2005;08;29;1430;Bullock;F0;25;0.1;0;0;3.4 W Union Springs;
41;2005;08;29;1416;Bullock-Montgomery;F0;300;6.0;0;0;1.3 W Mitchell- 1.5 NE Cecil;
40;2005;08;29;1255;Tallapoosa;F1;300;3.3;0;0;1.8 SW Reeltown-2.8 NW Reeltown;
39;2005;08;29;0630;Escambia;F0;30;2.0;0;0;7 S Huxford-5 S Huxford;
38;2005;08;28;1822;Mobile;F0;30;0.5;0;0;Alabama Port;
37;2005;08;28;1804;Baldwin;F0;30;0.5;0;0;Fort Morgan;
36;2005;08;28;1454;Mobile;F0;30;1.0;0;0;Semmes;
35;2005;07;06;1440;Lee;F0;200;1.2;0;0;8.5 E Opelika-9.7 E Opelika;
34;2005;07;06;1434;Chambers-Tallapoosa;F0;10;0.1;0;0;4.2 E Camphill;
33;2005;07;06;1356;Autauga;F0;25;0.2;0;0;3 E Autaugaville;
32;2005;07;06;1334;Macon;F1;25;0.1;0;1;8 NW Tuskegee;
31;2005;07;06;1317;Elmore;F0;75;1.3;0;0;1 SSW Tallassee-2.4 NW Tallassee;
30;2005;07;06;1255;Macon-Elmore;F0;150;5.6;0;0;2.5 W Shorter-4.7 SW Tallassee;
29;2005;07;06;1242;Montgomery;F0;30;7.6;0;0;2.6 SSW Cecil-5.3 NNW Cecil;
28;2005;07;06;1236;Autauga;F0;25;0.2;0;0;0.5 NW Vida-0.7 NW Vida;
27;2005;07;06;1227;Autauga;F1;30;0.3;0;0;4.9 N Autaugaville;
26;2005;07;06;0957;Covington;F0;30;1.0;0;0;Lockhart;
25;2005;07;06;0945;Covington;F0;30;0.5;0;0;Watkins Bridge;
24;2005;07;06;0620;Escambia;F0;30;0.5;0;0;Atmore;
23;2005;07;06;0525;Clarke;F0;30;0.5;0;0;5 W Walker Springs;
22;2005;07;06;0520;Washington;F0;30;0.5;0;0;Leroy;
21;2005;07;06;0353;Mobile;F0;30;0.5;0;0;Chunchula;
20;2005;07;06;0300;Mobile;F0;30;0.5;0;0;Semmes;
19;2005;05;31;1805;Covington;F0;20;1.0;0;0;5 W Opp;
18;2005;05;31;1730;Crenshaw;F0;20;0.2;0;0;Dozier;
17;2005;05;31;1710;Covington;F0;20;1.0;0;0;4 E Gantt;
16;2005;04;30;0712;Barbour;F1;75;10.0;0;0;2 SE Mt Andrew-1 E Comer;
15;2005;04;30;0654;Bullock;F0;125;12.6;0;0;2.8 N Perote-2 S Midway;
14;2005;04;30;0620;Crenshaw;F0;200;4.0;0;0;Bradleyton-4 E Bradleyton;
13;2005;04;30;0552;Lowndes;F1;50;1.6;0;1;4.2 SW White Hall-3 SW White Hall;
12;2005;04;30;0514;Clay-Tallapoosa;F1;200;17.1;0;0;11.7 S Ashland-1.2 NE Wadley;
11;2005;04;30;0422;Shelby;F1;150;2.2;0;0;2.8 NE Columbiana-4.2 NE Columbiana;
10;2005;04;30;0404;Shelby;F1;100;11.6;0;0;3.3 SW Helena-7.7 NE Helena;
9;2005;04;30;0316;Tuscaloosa;F0;100;6.9;0;0;2.2 NW Northport-5.8 NE Northport;
8;2005;04;30;0205;Walker;F1;50;0.6;0;0;5.8 E Jasper-6.4 E Jasper;
7;2005;04;22;1803;Cherokee;F0;75;0.9;0;0;0.8 NE Jamestown-1.4 NE Jamestown;
6;2005;04;22;1801;Cherokee;F0;75;0.4;0;0;2.1 NW Jamestown-1.8 NW Jamestown;
5;2005;04;22;1759;DeKalb;F0;60;0.2;0;0;5 ESE Fort Payne;
4;2005;04;6;1651;Pickens;F0;50;1.5;0;0;1.3 W Aliceville-1.1 N Aliceville;
3;2005;03;22;1213;Houston;F2;200;3.0;0;4;3.5 SSE Pansey-2 SW Gordon;
2;2005;03;13;2154;Pickens;F0;150;7.0;0;0;6.2 SW Ethelsville-5.6 SE Ethelsville;
1;2005;01;07;2312;Hale;F0;75;0.8;0;0;3.6 SW Greensboro-2.8 SW Greensboro;
69;2006;11;30;2153;Hale;F1;75;5.8;0;0;6.5 SSE Havana-4.1 WNW Hogglesville;
68;2006;11;30;2140;Hale;F0;25;3.3;0;0;1.3 E Greensboro Municipal Airport-2.5 WNW Greensboro;
67;2006;11;30;2135;Hale;F1;75;11.3;0;0;2.6 WSW Greensboro Municipal Airport-5.5 N Greensboro;
66;2006;11;30;2119;Marengo;F1;150;3.7;0;0;2.9 SSW Shortleaf-0.6 NW Demopolis;
65;2006;11;15;1438;Henry;F1;100;3.6;0;0;2 S Newville-3 E Newville;
64;2006;11;15;1253;Barbour;F0;50;0.1;0;0;1.6 WSW Mount Andrew;
63;2006;11;15;1212;Coffee-Pike-Barbour;F2;650;19.8;0;0;2.2 S Hamilton Crossroads-3 ESE Enon;
62;2006;11;15;1202;Chambers;F0;75;0.2;0;0;1.4 WNW Lafayette-1.5 NW Lafayette;
61;2006;11;15;1153;Coffee;F0;150;3.0;0;2;2 NE Elba-5 NE Elba;
60;2006;11;15;1130;Covington;F2;300;15.8;0;0;4.4 E Green Bay-5.7 WNW Eoda;
59;2006;11;15;1111;Tallapoosa;F0;25;0.1;0;0;1.8 WNW Reeltown;
58;2006;11;15;1102;Elmore;F1;100;5.2;0;0;1.9 W Kent-0.5 NW Red Hill;
57;2006;11;15;1040;Elmore;F1;150;1.6;0;0;4.1 ESE Ware-3.1 E Ware;
56;2006;11;15;1025;Montgomery;F2;250;6.8;0;6;2.3 NNW Pinedale-1.8 ENE Mount Meigs;
55;2006;11;15;0955;Lowndes-Montgomery;F1;250;5.9;0;0;3.5 ENE Fleta - 2.0 NW Pintlala;
54;2006;11;15;0909;Baldwin;F1;150;1.3;0;0;0.3 SE Dyas-1 WNW Dyas;
53;2006;11;15;0848;Baldwin;F0;50;1.1;0;0;3.8 NE Rabun-3.5 NNE Rabun;
52;2006;11;15;0544;Washington;F1;300;7.8;0;0;2.3 ESE Jordan-4.1 SSE Bigbee;
51;2006;9;22;1752;Blount;F2;200;4.4;0;3;Oneonta;
50;2006;9;22;1740;Blount;F2;200;0.3;0;0;Locust Fork;
49;2006;9;22;1706;Marshall;F1;500;3.2;0;0;Albertville;
48;2006;9;22;1702;Blount;F2;100;1.3;0;0;5 SW Locust Fork;
47;2006;9;22;1615;Colbert;F0;20;4.0;0;0;2 N Littleville - 5 SW Leighton;
46;2006;9;22;1538;Marshall;F0;10;0.1;0;0;1 N Arab;
45;2006;5;10;1708;Clarke;F0;30;0.1;0;0;Talahatta Springs;
44;2006;05;10;1344;Marengo;F1;150;2.6;0;0;2.6 NW Linden;
43;2006;5;9;1605;Limestone;F0;30;0.1;0;0;6 WSW Elkmont;
42;2006;5;9;1600;Limestone;F0;60;5.0;0;0;2 S Salem - 3 SW Elkmont;
41;2006;4;8;0203;Talladega;F0;100;0.6;0;0;1 NNW Childersburg - 0.5 NNE Childersburg;
40;2006;4;8;0052;Calhoun;F1;120;0.8;0;0;1.2 SSW Ohatchee - 1.7 S Ohatchee;
39;2006;4;8;0023;Jefferson;F1;100;3.2;0;0;Roebuck Plaza - 2.6 ENE Roebuck Plaza;
38;2006;4;8;0016;Jefferson;F1;100;2.3;0;1;Gardendale - 2.1 SE Gardendale;
37;2006;4;7;2344;DeKalb;F0;85;0.1;0;0;5 ESE Ft Payne;
36;2006;4;7;2250;Cullman;F1;30;0.2;0;0;5 NE Cullman;
35;2006;4;7;2215;Marshall;F0;150;0.1;0;0;3 N Arab;
34;2006;4;7;2135;Lawrence-Morgan;F1;150;9.0;0;0;3 SE Speake - 3 NE Danville;
33;2006;4;7;2124;Limestone;F0;40;0.1;0;0;Greenbrier;
32;2006;4;7;2116;Morgan;F0;50;1.0;0;0;2 E Decatur - 3 E Decatur;
31;2006;4;7;2100;Marion-Winston;F1;150;4.7;0;0;5.5 SE Bear Creek - 3.1 ENE Haleyville;
30;2006;4;7;2100;Lawrence;F0;60;0.1;0;0;Caddo;
29;2006;4;7;2030;Lawrence;F0;50;0.1;0;0;1 E Mt Hope;
28;2006;4;7;2000;Franklin;F0;75;3.0;0;0;Hodges - 3 NW Hodges;
27;2006;4;7;1955;Marion;F1;50;9.4;0;0;5.4 W Hamilton-7.8 NE Hamilton;
26;2006;4;7;1945;Lawrence;F0;30;0.1;0;0;1 NW Hatton;
25;2006;4;7;1848;Madison;F0;30;2.0;0;0;2 N Skinem - 4 N Skinem;
24;2006;4;7;1845;Madison;F0;50;0.2;0;0;Sulphur Springs;
23;2006;4;7;1805;Limestone;F1;200;0.7;0;0;2 ENE Cairo - 3 ENE Cairo;
22;2006;4;7;1755;Colbert;F1;100;10.0;0;0;Colbert Heights - Leighton;
21;2006;4;7;1725;Colbert;F1;100;8.0;0;0;4 SW Tuscumbia - 1 SE Muscle Shoals;
20;2006;4;7;1714;Lauderdale;F0;30;0.1;0;0;St. Florian;
19;2006;4;7;1650;Colbert;F0;50;0.1;0;0;Cherokee;
18;2006;3;13;1850;Cullman;F0;20;0.1;0;0;7 SSW Hanceville;
17;2006;3;13;1847;Cullman;F0;20;0.1;0;0;7 SSW Hanceville;
16;2006;3;13;1845;Cullman;F0;50;0.1;0;0;8 SSW Hanceville;
15;2006;3;13;1815;Blount;F0;25;0.1;0;0;6.8 NW Hayden;
14;2006;3;13;1756;Cullman;F0;20;0.1;0;0;2 NE Arkadelphia;
13;2006;3;13;1754;Tuscaloosa;F0;20;0.1;0;0;9.9 N Samantha;
12;2006;3;13;1743;Tuscaloosa - Fayette;F0;30;3.4;0;0;9.3 NW Samantha;
11;2006;3;13;1739;Walker;F1;25;1.3;0;0;9.7 NE Jasper;
10;2006;3;13;1715;Lamar;F0;75;2.6;0;0;1.6 SW Kennedy;
9;2006;3;13;1655;Fayette;F1;50;1.6;0;0;15 NNW Bankston;
8;2006;3;13;1645;Fayette;F0;50;1.1;0;0;14.9 N Fayette;
7;2006;3;13;1604;Lamar;F0;25;0.1;0;0;4.3 SW Sulligent;
6;2006;2;02;1525;Conecuh;F0;30;0.5;0;0;17 NW Evergreen;
5;2006;2;02;1520;Monroe;F0;30;0.5;0;0;Tunnell Springs;
